Mã FN,Tên ch?c nang,Module,MoSCoW,Ði?m UCP,Sprint,BE ph? trách,FE ph? trách,Tr?ng thái API,Ngày b?t d?u,Ngày hoàn thành,Ghi chú
FN15,Xóa bài vi?t (có xác nh?n),N?i dung (Blog/Video),Must,8,Sprint 1,member2,Qu?c Tr?ng,Chua n?i,24/09/2026,29/09/2026,"Ch? tác gi?/admin; xóa m?m soft-delete, popup xác nh?n"
FN16,Qu?n lý danh sách bài vi?t c?a tôi,N?i dung (Blog/Video),Must,8,Sprint 1,member2,Qu?c Tr?ng,Chua n?i,24/09/2026,29/09/2026,"Tabs: Ðã duy?t, Ch? duy?t, B?n nháp, B? t? ch?i"
FN09,Tìm ki?m bài vi?t/video theo t? khóa,N?i dung (Blog/Video),Must,13,Sprint 2,member1,Qu?c Tr?ng,Chua n?i,3/10/2026,13/10/2026,"Full-text search, chu?n hóa t? khóa >= 2 ký t?"
FN10,Tìm ki?m trang cá nhân ngu?i dùng,N?i dung (Blog/Video),Could,8,Sprint 2,member1,Qu?c Tr?ng,Chua n?i,3/10/2026,13/10/2026,"Tìm theo username/display name, ch? hi?n ACTIVE"
FN17,Bình lu?n & tr? l?i bình lu?n,N?i dung (Blog/Video),Must,13,Sprint 2,member1,Qu?c Tr?ng,Chua n?i,3/10/2026,13/10/2026,"Ð? dài 1-500 ký t?, tr? l?i l?ng t?i da 2 c?p, ch?n t?c tiu"
FN18,Thích bài vi?t (Like),N?i dung (Blog/Video),Must,8,Sprint 2,member1,Qu?c Tr?ng,Chua n?i,3/10/2026,13/10/2026,"Toggle like/unlike, Optimistic UI, yêu c?u login"
FN19,Luu bài vi?t d? xem sau,N?i dung (Blog/Video),Must,8,Sprint 2,member1,Qu?c Tr?ng,Chua n?i,3/10/2026,13/10/2026,"Bookmark cá nhân, ch?ng trùng l?p, toggle luu/h?y luu"
FN20,Xem danh sách bài vi?t dã luu,N?i dung (Blog/Video),Must,8,Sprint 2,member1,Qu?c Tr?ng,Chua n?i,3/10/2026,13/10/2026,"S?p x?p m?i nh?t lên d?u, t? ?n n?u bài g?c b? xóa"
FN21,Xem trang cá nhân tác gi? khác,N?i dung (Blog/Video),Must,8,Sprint 2,member1,Qu?c Tr?ng,Chua n?i,3/10/2026,13/10/2026,"Ch? hi?n bài APPROVED, th?ng kê s? bài, like, ngày t?o"
FN22,Nh?p / C?p nh?t h? so s?c kh?e,S?c kh?e & Dinh du?ng,Must,8,Sprint 2,member2,Qu?c Tr?ng,Chua n?i,3/10/2026,13/10/2026,"Cao 100-250cm, N?ng 30-200kg, v?n d?ng, tính TDEE"
FN23,Khai báo d? ?ng th?c ph?m,S?c kh?e & Dinh du?ng,Must,8,Sprint 2,member2,Qu?c Tr?ng,Chua n?i,3/10/2026,13/10/2026,"Ch?n d? ?ng t? DS/nh?p tay, hi?n c?nh báo d? ? bài vi?t"
FN24,Tính ch? s? BMI,S?c kh?e & Dinh du?ng,Must,8,Sprint 2,member2,Qu?c Tr?ng,Chua n?i,3/10/2026,13/10/2026,"BMI = kg/m2, 4 m?c WHO, d? xu?t dinh du?ng & calo"
FN25,Xem l?ch s? ch? s? BMI,S?c kh?e & Dinh du?ng,Must,8,Sprint 2,member2,Qu?c Tr?ng,Chua n?i,3/10/2026,13/10/2026,"Ghi v?t timestamp, bi?u d? bi?n thiên 6 tháng g?n nh?t"
FN26,T?o th?c don tu?n (Rule-based),S?c kh?e & Dinh du?ng,Must,13,Sprint 2,member2,Qu?c Tr?ng,Chua n?i,3/10/2026,13/10/2026,"Th?c don 7 ngày x 3 b?a, lo?i tr? món d? ?ng, cân d?i calo"
FN27,Xem quán chay g?n v? trí hi?n t?i,C?a hàng chay,Must,13,Sprint 2,member2,Qu?c Tr?ng,Chua n?i,3/10/2026,13/10/2026,"Geolocation API, công th?c Haversine, bán kính 5-10km"
FN28,G?i ý quán chay theo t? khóa tìm ki?m,C?a hàng chay,Must,13,Sprint 2,member2,Qu?c Tr?ng,Chua n?i,3/10/2026,13/10/2026,"Quét tên quán/d?a ch?/món, uu tiên rating cao + c? ly g?n"
FN29,Xem chi ti?t quán chay & Ch? du?ng,C?a hàng chay,Must,8,Sprint 2,member2,Qu?c Tr?ng,Chua n?i,3/10/2026,13/10/2026,"Thông tin quán, gi? m? c?a, nút 1 ch?m m? Google Maps d?n du?ng"
FN30,Chat h?i dáp dinh du?ng v?i AI Genie,Tr? lý AI Genie,Must,18,Sprint 3,member1,Qu?c Tr?ng,Chua n?i,17/10/2026,27/10/2026,"LLM API, System Prompt dinh du?ng/chay, luu phiên h?i tho?i"
FN31,AI Genie cá nhân hóa theo h? so,Tr? lý AI Genie,Must,13,Sprint 3,member1,Qu?c Tr?ng,Chua n?i,17/10/2026,27/10/2026,"Nhúng BMI, b?nh n?n, d? ?ng vào prompt an toàn"
FN32,AI Genie tìm bài theo nguyên li?u/b?a,Tr? lý AI Genie,Must,13,Sprint 3,member1,Qu?c Tr?ng,Chua n?i,17/10/2026,27/10/2026,"Intent recognition, Function Calling theo tags/b?a/th?i gian"
FN35,Gi?i h?n s? câu h?i AI cho Guest,Tr? lý AI Genie,Must,8,Sprint 3,member1,Qu?c Tr?ng,Chua n?i,17/10/2026,27/10/2026,"T?i da 3 câu/phiên ho?c IP (Redis cache), modal m?i login"
FN36,Nh?n thông báo h? th?ng,Thông báo,Must,8,Sprint 3,member2,Qu?c Tr?ng,Chua n?i,17/10/2026,27/10/2026,"In-app & web push (comment, duy?t bài, nh?c nh? th?c don)"
FN37,Ðánh d?u dã d?c thông báo,Thông báo,Must,8,Sprint 3,member2,Qu?c Tr?ng,Chua n?i,17/10/2026,27/10/2026,"Ðánh d?u t?ng cái ho?c t?t c?, reset badge v? 0, is_read=true"
FN38,Qu?n lý danh sách thành viên,Qu?n tr? h? th?ng,Must,8,Sprint 3,member2,Qu?c Tr?ng,Chua n?i,17/10/2026,27/10/2026,"Admin role only, danh sách + search + filter role/status"
FN39,Khóa / M? tài kho?n thành viên,Qu?n tr? h? th?ng,Must,8,Sprint 3,member2,Qu?c Tr?ng,Chua n?i,17/10/2026,27/10/2026,"Ban/Unban có lý do & th?i h?n, revoke token ngay l?p t?c"
FN40,Qu?n lý danh m?c món chay (CRUD),Qu?n tr? h? th?ng,Must,8,Sprint 3,member2,Qu?c Tr?ng,Chua n?i,17/10/2026,27/10/2026,"CRUD danh m?c, khóa xóa n?u còn bài vi?t liên k?t"
FN41,Ki?m duy?t n?i dung th? công,Qu?n tr? h? th?ng,Must,13,Sprint 3,member2,Qu?c Tr?ng,Chua n?i,17/10/2026,27/10/2026,"Duy?t / T? ch?i (b?t bu?c nh?p lý do), thông báo t?i tác gi?"
FN44,Ghi nh?t ký qu?n tr? (Audit Log),Qu?n tr? h? th?ng,Must,6,Sprint 3,member2,N/A (backend only),Chua n?i,17/10/2026,27/10/2026,"Log t? d?ng timestamp, admin_id, IP, read-only không s?a/xóa"
FN33,AI Genie tìm bài theo ng? nghia,Tr? lý AI Genie,Could,18,Backlog (stretch),TBD,Qu?c Tr?ng,Chua n?i,,,"Embedding model, Vector DB, Cosine similarity search"
FN34,Ð?ng b? Vector DB cho bài vi?t m?i,Tr? lý AI Genie,Could,16,Backlog (stretch),TBD,N/A (backend only),Chua n?i,,,Background worker/Queue t?o embedding khi bài APPROVED
FN42,Xem hàng d?i n?i dung AI g?n c?,Qu?n tr? h? th?ng,Could,13,Backlog (stretch),TBD,Qu?c Tr?ng,Chua n?i,,,"Hàng d?i bài vi?t AI nghi v?n, confidence score, highlight vi ph?m"
FN43,X? lý n?i dung b? AI g?n c?,Qu?n tr? h? th?ng,Could,13,Backlog (stretch),TBD,Qu?c Tr?ng,Chua n?i,,,"Human-in-the-loop: Admin phán quy?t duy?t gi?/g? bài, audit log"
T?NG C?NG,,,44 ch?c nang,433,,,,,,,T?ng di?m UCP c?a toàn b? 44 ch?c nang (39 Must + 5 Could/Stretch)
